dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,64,0.0001,0.3,2,0.7629,0.7948
0.5,64,0.0001,0.3,3,0.8192,0.8390
0.5,64,0.0001,0.3,4,0.8519,0.8629
0.5,64,0.0001,0.3,5,0.8713,0.8774
0.5,64,0.0001,0.3,6,0.8867,0.8884
0.5,64,0.0001,0.3,7,0.8981,0.8934
0.5,64,0.0001,0.3,8,0.9085,0.8983
0.5,64,0.0001,0.3,9,0.9164,0.9005
0.5,64,0.0001,0.3,10,0.9234,0.8991


RUN 16/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.1

0.5,64,1e-05,0.1,1,0.5945,0.6263
0.5,64,1e-05,0.1,2,0.6305,0.6469
0.5,64,1e-05,0.1,3,0.6559,0.6712
0.5,64,1e-05,0.1,4,0.6745,0.6896
0.5,64,1e-05,0.1,5,0.6934,0.7026
0.5,64,1e-05,0.1,6,0.7054,0.7112
0.5,64,1e-05,0.1,7,0.7203,0.7249
0.5,64,1e-05,0.1,8,0.7316,0.7346
0.5,64,1e-05,0.1,9,0.7417,0.7424
0.5,64,1e-05,0.1,10,0.7502,0.7494


RUN 17/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.2

0.5,64,1e-05,0.2,1,0.5315,0.5581
0.5,64,1e-05,0.2,2,0.5644,0.5804
0.5,64,1e-05,0.2,3,0.5909,0.6089
0.5,64,1e-05,0.2,4,0.6158,0.6342
0.5,64,1e-05,0.2,5,0.6438,0.6538
0.5,64,1e-05,0.2,6,0.6654,0.6762
0.5,64,1e-05,0.2,7,0.6840,0.6936
0.5,64,1e-05,0.2,8,0.7017,0.7060
0.5,64,1e-05,0.2,9,0.7169,0.7199
0.5,64,1e-05,0.2,10,0.7309,0.7346


RUN 18/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.3

0.5,64,1e-05,0.3,1,0.5708,0.6057
0.5,64,1e-05,0.3,2,0.6115,0.6347
0.5,64,1e-05,0.3,3,0.6403,0.6561
0.5,64,1e-05,0.3,4,0.6650,0.6763
0.5,64,1e-05,0.3,5,0.6819,0.6884
0.5,64,1e-05,0.3,6,0.6986,0.7065
0.5,64,1e-05,0.3,7,0.7115,0.7147
0.5,64,1e-05,0.3,8,0.7247,0.7280
0.5,64,1e-05,0.3,9,0.7356,0.7335
