dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.5,64,0.001,0.1,20,0.9680,0.9563


RUN 11/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.2

0.5,64,0.001,0.2,1,0.8126,0.8790
0.5,64,0.001,0.2,2,0.8914,0.9053
0.5,64,0.001,0.2,3,0.9111,0.9248
0.5,64,0.001,0.2,4,0.9199,0.9174
0.5,64,0.001,0.2,5,0.9259,0.9323
0.5,64,0.001,0.2,6,0.9304,0.9367
0.5,64,0.001,0.2,7,0.9354,0.9373
0.5,64,0.001,0.2,8,0.9388,0.9434
0.5,64,0.001,0.2,9,0.9408,0.9433
0.5,64,0.001,0.2,10,0.9426,0.9425
0.5,64,0.001,0.2,11,0.9446,0.9472
0.5,64,0.001,0.2,12,0.9467,0.9254
0.5,64,0.001,0.2,13,0.9467,0.9478
0.5,64,0.001,0.2,14,0.9490,0.9475
0.5,64,0.001,0.2,15,0.9478,0.9470
0.5,64,0.001,0.2,16,0.9500,0.9465
0.5,64,0.001,0.2,17,0.9496,0.9474
0.5,64,0.001,0.2,18,0.9513,0.9507
0.5,64,0.001,0.2,19,0.9505,0.9499
0.5,64,0.001,0.2,20,0.9513,0.9514


RUN 12/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.001, color_jitter=0.3

0.5,64,0.001,0.3,1,0.8143,0.8865
0.5,64,0.001,0.3,2,0.8897,0.9057
0.5,64,0.001,0.3,3,0.9121,0.9162
0.5,64,0.001,0.3,4,0.9223,0.9222
0.5,64,0.001,0.3,5,0.9285,0.9149
0.5,64,0.001,0.3,6,0.9343,0.9182
0.5,64,0.001,0.3,7,0.9373,0.9375
0.5,64,0.001,0.3,8,0.9410,0.9377
0.5,64,0.001,0.3,9,0.9433,0.9204
0.5,64,0.001,0.3,10,0.9438,0.9500
0.5,64,0.001,0.3,11,0.9467,0.9459
0.5,64,0.001,0.3,12,0.9468,0.9004
0.5,64,0.001,0.3,13,0.9474,0.9405
0.5,64,0.001,0.3,14,0.9492,0.9441
0.5,64,0.001,0.3,15,0.9577,0.9546
0.5,64,0.001,0.3,16,0.9591,0.9507
0.5,64,0.001,0.3,17,0.9607,0.9533
0.5,64,0.001,0.3,18,0.9612,0.9560
0.5,64,0.001,0.3,19,0.9609,0.9494
0.5,64,0.001,0.3,20,0.9621,0.9545


RUN 13/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.1

0.5,64,0.0001,0.1,1,0.6502,0.7227
0.5,64,0.0001,0.1,2,0.7562,0.7837
0.5,64,0.0001,0.1,3,0.8092,0.8283
0.5,64,0.0001,0.1,4,0.8429,0.8532
0.5,64,0.0001,0.1,5,0.8651,0.8725
0.5,64,0.0001,0.1,6,0.8823,0.8832
0.5,64,0.0001,0.1,7,0.8949,0.8857
0.5,64,0.0001,0.1,8,0.9045,0.8939
0.5,64,0.0001,0.1,9,0.9145,0.8965
0.5,64,0.0001,0.1,10,0.9219,0.8942
0.5,64,0.0001,0.1,11,0.9288,0.9006
0.5,64,0.0001,0.1,12,0.9342,0.8997
0.5,64,0.0001,0.1,13,0.9405,0.9015
0.5,64,0.0001,0.1,14,0.9456,0.8998
0.5,64,0.0001,0.1,15,0.9493,0.9008
0.5,64,0.0001,0.1,16,0.9634,0.9008
0.5,64,0.0001,0.1,17,0.9683,0.8974
0.5,64,0.0001,0.1,18,0.9723,0.8988
0.5,64,0.0001,0.1,19,0.9743,0.8985
0.5,64,0.0001,0.1,20,0.9817,0.8985


RUN 14/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.2

0.5,64,0.0001,0.2,1,0.6724,0.7397
0.5,64,0.0001,0.2,2,0.7705,0.8024
0.5,64,0.0001,0.2,3,0.8193,0.8331
0.5,64,0.0001,0.2,4,0.8504,0.8542
0.5,64,0.0001,0.2,5,0.8677,0.8700
0.5,64,0.0001,0.2,6,0.8824,0.8808
0.5,64,0.0001,0.2,7,0.8958,0.8884
0.5,64,0.0001,0.2,8,0.9052,0.8928
0.5,64,0.0001,0.2,9,0.9137,0.8920
0.5,64,0.0001,0.2,10,0.9210,0.8980
0.5,64,0.0001,0.2,11,0.9279,0.9004
0.5,64,0.0001,0.2,12,0.9333,0.9012
0.5,64,0.0001,0.2,13,0.9387,0.9009
0.5,64,0.0001,0.2,14,0.9418,0.9012
0.5,64,0.0001,0.2,15,0.9470,0.9014
0.5,64,0.0001,0.2,16,0.9601,0.8991
0.5,64,0.0001,0.2,17,0.9663,0.8969
0.5,64,0.0001,0.2,18,0.9700,0.8963
0.5,64,0.0001,0.2,19,0.9721,0.8975
0.5,64,0.0001,0.2,20,0.9787,0.8999


RUN 15/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=0.0001, color_jitter=0.3

0.5,64,0.0001,0.3,1,0.6637,0.7241
0.5,64,0.0001,0.3,2,0.7622,0.7891
0.5,64,0.0001,0.3,3,0.8088,0.8276
0.5,64,0.0001,0.3,4,0.8394,0.8480
0.5,64,0.0001,0.3,5,0.8628,0.8640
0.5,64,0.0001,0.3,6,0.8799,0.8771
0.5,64,0.0001,0.3,7,0.8926,0.8859
0.5,64,0.0001,0.3,8,0.9029,0.8953
0.5,64,0.0001,0.3,9,0.9123,0.8961
0.5,64,0.0001,0.3,10,0.9188,0.8986
0.5,64,0.0001,0.3,11,0.9260,0.8985
0.5,64,0.0001,0.3,12,0.9328,0.8991
0.5,64,0.0001,0.3,13,0.9377,0.8960
0.5,64,0.0001,0.3,14,0.9425,0.8986
0.5,64,0.0001,0.3,15,0.9474,0.8945
0.5,64,0.0001,0.3,16,0.9608,0.8979
0.5,64,0.0001,0.3,17,0.9654,0.8919
0.5,64,0.0001,0.3,18,0.9703,0.8969
0.5,64,0.0001,0.3,19,0.9718,0.8941
0.5,64,0.0001,0.3,20,0.9788,0.8955


RUN 16/72 PARAMETERS: dropout=0.5, batch_size=64, learning_rate=1e-05, color_jitter=0.1

0.5,64,1e-05,0.1,1,0.5438,0.5869
0.5,64,1e-05,0.1,2,0.5918,0.6175
0.5,64,1e-05,0.1,3,0.6228,0.6421
0.5,64,1e-05,0.1,4,0.6438,0.6614
0.5,64,1e-05,0.1,5,0.6642,0.6741
0.5,64,1e-05,0.1,6,0.6809,0.6863
0.5,64,1e-05,0.1,7,0.6940,0.6989
0.5,64,1e-05,0.1,8,0.7053,0.7126
0.5,64,1e-05,0.1,9,0.7192,0.7229
0.5,64,1e-05,0.1,10,0.7288,0.7331
0.5,64,1e-05,0.1,11,0.7409,0.7430
0.5,64,1e-05,0.1,12,0.7506,0.7504
0.5,64,1e-05,0.1,13,0.7589,0.7541
0.5,64,1e-05,0.1,14,0.7658,0.7606
0.5,64,1e-05,0.1,15,0.7756,0.7677
0.5,64,1e-05,0.1,16,0.7828,0.7725
